Оценка;Отзыв
5;Эта маска призвана не только освежить уставшую кожу, но и рассмешить домочадцев. Когда вы разворачиваете саму маску, на ткань нанесен рисунок в виде мордочки панды - муж мой сильно смеялся. Ну что сказать, это мило. Если вы готовы переплачивать за такой мимимишный эффект, то такая маска вам отлично подойдет. Возможно вы хотите устроить пати и нафоткаться в этих зверомасках) Но эффект у нее самый о...
5;Ах, этот аромат. Маски из этой серии, не только банановая, все они имеют яркий прекрасный аромат, из-за этого маска превращается в спа уход для лица. Эффект от маски тоже очень положительный. С кожи стираются следы усталости, кожа кажется более ровной, нежной на ощупь. Огромный плюс, что состав маски не нужно смывать. Лекало у масочки удобное, впрочем как и у всех корейских масок. Ткань тоненькая...
5;"Моя первая альгинатная маска.
Если хотите познакомиться с таким видом масок - смело советую эту! 
-Пакетик рассчитан на 1 раз, если растянете его на 2 раза, того эффекта, который должен быть от альгинатной маски не будет. Почему? Да потому, что альгинатная маска работает за счет толстого, плотного слоя. Да и снимается тогда она легче,  один пластом, нежели если вы ее нанесете тонким слоем.
-Пор..."
5;Очень поднимает настроение! Звездочки по всему лицу, словно галактика! Сохнет правда долго, но пока делаешь селфи - высохнет еще и как. Побаловаться с подружками можно. Очищение не особо заметное, а настроение на высоте. Маска для тех, кто хочет разнообразить свои фоточки в ленте.
5;"Маска действительно сужает поры, но и подсушивает кожу хорошо, даже в некоторых местах мне пересушила. Лекало хорошо пропитано, но или у меня лицо маленькое, или так задумано было) Нижняя часть еще и на подбородок налаживается, мне пол шеи закрыло)
Сам эффект от маски хороший, но вот только возле глаз, где попадала маска - пересохла после кожа, и стала шелушиться."
5;Классная маска!Очень хорошая и действенная.Не похожа на обычные тканевые маски. Дизайн дорогой и интересный, лекало широкое на первый взгляд, но ложится очень хорошо, для глаз и рта отличные удобные прорези, везде подрезана где надо, идеально садится - ткань плотный хлопок, пропитки не много, она не льется. Из минусов маска быстро высыхает - через 20 минут полностью сухая тряпочка на лице. Липнет ...
5;Волшебная маска,уже не первый раз беру.Каждый раз удивляюсь супер натуральным ингредиентам, бренд Teana действительно в себя влюбляет.Кожа нежная и мягкая,а я абсолютно счастливая! Ещё недавно попробовала их новинку-маску-смузи,тоже бомба!Эффект просто обалденный,настолько натуральная,что её даже можно съесть!Всем очень советую!
4;Маска средненькая скажем так. не могу сказать, что абсолютно бесполезная, но и хорошего увлажнения я от нее не получила. Так ... баловство одним словом. Состав хороший, но на моей коже он почему-то не работает. Она у меня уже почти закончилась. Вот добью и больше не куплю
5;Отличный скраб, наверное самый удачный скраб для лица, который я пробовала в белорусской косметике. Консистенция густая кремовая с вкраплениями очень мелких скрабирующих частичек, а также гранулками,  которые при массаже растворяются и придают маске желтый цвет. Запах немного лекарственный (медицинский), сама маска помимо скраба еще немного напоминает глинянную маску. Я пользуюсь ей с удовольствие...
4;"Я заказала 3 разных маски из серии Beauty Visage и это наверное самая плохая из это серии. Но сразу оговорюсь, это потому что две другие просто ооооочень крутые. 
Лекало у всех одинаковое и довольно удобное. Нет навязчивого запаха, что тоже плюс для меня. Сама маска пропитана довольно хорошо.
Теперь об эффекте. Какого-то ВАЙУ эффекта я не увидела и не омолодилась))) Даже маленькие морщинки на лб..."
5;"Очень понравилась маска. Идеальна для глубокого увлажнения кожи.
Красивого розового цвета. Кремовой консистенции. Приятно ненавязчиво пахнет. Очень хорошо увлажняет, делает кожу нежной, упругой, освежает, придает здоровый вид, убирает все шелушения. Не сушит. Легко смывается. 
Объем небольшой, но хватает маски на несколько раз. 
Упаковка красиво смотрится. Можно и подарить кому-нибудь.
Покупку..."
4;"На твердую четверку.
У меня сухая кожа и я уже долго ищу маску ,которая за один раз раз бы увлажняла мою кожу.Эта ,конечно,увлажнила и мне даже хватило того,чтобы потом обмакнуть лекало в эту консистенцию и использовать второй раз.
Но 4 за то,что мне не хватило увлажнения.Возможно,это только мои предпочтения,поэтому все же посоветую её к покупке.Запах приятный.
Из заявленных достоинств не могу ..."
5;"Очень приятная масочка. Понравился эффект от нее. 
Она имеет кремовую консистенцию, поэтому легко наносится на кожу и не застывает коркой как обычная глина. Очень удобно, что ничего не нужно смешивать. Легко потом смывается теплой водой. Не сушит кожу. Выравнивает цвет лица, матируюет и немного осветляет. Насчёт омоложения не знаю, пользовалась только несколько раз. Но вид более свежий однозначно..."
5;Очень хорошая маска! Мне хватило на 2 раза, а если учитывать рекомендации производителя наносить массажными движениями, то хватит и на 3 раза. Держала 10 минут, не стоит держать дольше, иначе придётся смывать очень долго с лица. Маска приятная, полупрозрачная, с приятным ароматом, по консистенции похожа перемолотый алоэ+желе. После применения кожа увлажнена, смягчена, небольшие покраснения устране...
5;Масочка рабочая. Консистенция странноватая-простоквашки. Легко наносится, также хорошо смывается с кожи. Для моей комбинированной и проблемной коди с возникающими воспалениями она незаменима. Отлично матирует. Эффекта от нее хватает мне до 4-5 дней. Регулирует работу сальных желез. Это заметно.
5;"Интересная идея: маска-основа, которая меняет свойства при добавлении того или иного ингредиента. Мне больше всего понравились варианты с лимонным соком и сахаром.
Также я добавляю к маске ложку кокосового масла для питания, ложку масла черного тмина от высыпаний, соду - чтобы получить маску-пилинг, тыквенную кашицу и яблочный уксус для питания."
5;Отличная питательная маска для лица! Консистенция густая с небольшими частичками. Запах очень приятный, пользуюсь с удовольствием! После использования кожа мягкая и напитанная. Советую к покупке.
4;Хорошая маска, выполняет все обещания производителя. В упаковке находится 12 кружочков в виде зеленых огурчиков, как показано на упаковке, кружочки разного диаметра, можно использовать на любую часть тела, пахнут кружочки огурцом не навязчиво. Я использовала на лицо после хранения в холодильнике - мне хватило маски на 2 раза. В этом и плюс и минус этой маски - с одной стороны можно 2 раза  использ...
5;Классная маска, отлично убирает покраснения и увлажняет, освежает. Буду брать еще!
5;Отличное средство! Пузырится и очищает кожу, очень понравилось. Объем не большой, но расход тоже не огромный. Удобно взять с собой, упаковка отличная!
5;У меня комби кожа. Взяла первый раз эту маску. Наносила после умывания и очищения кожи тоником. Лекало маски удобное, пропитана хорошо. Поры после нее действительно стали значительно меньше. Но на следующий день уже вернулись в свое обычное состояние. Поэтому для более длительного результата использовать ее нужно несколько раз в неделю. После маски кожа матовая и увлажненная. Кремом после не польз...
5;Маска очень понравилась, после применения долгое время сохраняется эффект салонного ухода. Цена и качество очень порадовали, буду заказывать еще.
5;Время от времени покупаю маски-пленки, чередую их с гелевыми и тканевыми. Расходуются они у меня быстро, неважно какой объем, потому что наношу плотным толстым слоем. После высыхания толстый слой снимается легче, и не кусками, а цельным полотном. Привыкла к пленка настолько, что хотя бы раз в неделю мне надо использовать ее. Кожа после них становится идеально матовой. И на этот раз среди прочих вы...
4;"Маска пахнет сладким миндалём.
Храню в холодильнике, поэтому приятно холодит и довольно сложно наносится. Обычная кисточка для маски не подойдёт.
Текстура маслянистая, но в процессе на коже засыхает и стягивает.
Смыть без спонжей нереально. Очень маслянистая, и сильно уходит в поры.
Но эффект приятный. Лицо главное, чистое. 
Более ровный тон и мягкость.
Думаю, в процессе лучше сбрызнуть лицо..."
5;Попробовав раз корейские тканевые маски, я не смогла остановиться на одной-двух. Мне нужно было все перепробовать. Увидев маску с экстрактом картофеля, мне даже интересно стала. Вау, как интересно! - подумала я. Нужно же попробовать все ароматы, вкусы и оттенки. Алоэ и огурцами в качестве маски никого не удивишь, а вот картофель - это что-то интересное и новенькое. Требования мои те же, что и к ос...
5;Давно мечтала попробовать маску с экстрактом зеленого чая. Наслышана о его чудодейственном эффекте. А тут такая удача и как не попробовать? Маску скрывает надежная упаковка. Имеет приятный аромат с нотками какой-то растительности. Маска хорошо пропитана, когда вынимаешь из упаковки жидкость не стекает. Размер лекало стандартный, не супер огромное полотно, которое покроется складками на вашем лице...
5;Маска хорошая, но высыхает быстрее чем 15 минут. После маски, уменьшаются покраснения.
5;"Хорошая увлажняющая маска, которая классно действует на коже!
-консистенция легкая, геле-кремовая)))
-подойдет для всех типов кожи
Если наносить тонким слоем - впитывается быстро, иногда даже использую как ночную маску, на утро кожа напитанная,увлажненная, цвет лица выравнен 
Если наносить слой побольше, то впитывается дольше, смываю спонжем, кожа тоже отлично напитана и увлажнена 
Советую..."
5;Маска очень приятная, густая. При нанисение  воспалений,красноты,аллергической реакции не вызывает. Запах приятный. Впитываеться Долго,но кожа после применения гладкая, мягкая,чувствуется напитанной. Хоть в инструкции написано что смывать не нужно,но кожа все равно липкая, я смываю.
5;Попробовала новинку, понравилась ни хуже других, что пробовала ранее. Маска отлично питает,  увлажняет и освежает кожу. Рекомендую, закажу еще!
5;Тканевая маска от holika holika имеет Хорошее удобное лекало, ткань очень тоненькая хорошо напитанная, по лицу хорошо распределяется и не съезжает. По эффекту похоже что охлаждает и успокаивает кожу. Использовала её после пилинга. Результат: увлажнённая, напитанная кожа, дискомфорта никакого не вызвала, но выравнивания тона не заметила( держала 30 минут, после не смывала, распределила остатки по л...
1;Совершенно бестолковая вещь. Лучше взять в банке корейские
2;"Не понравилась маска совсем((
Никакого эфекта не заметила и очень плохо снимается, кусками, какой бы толщины не наносила!
Нет этой маске точно и увы((
Хотя у меня была маска-пленка этого бренда из другой серии и тоже бюджетная, с черным углем, вот она классная!"
5;"Использую 
Или Утром подготавливает кожу к макияжу, убирает шелушинки 
Или Вечером хорошо очищает, дарит ощущение чистоты на лице 
Состав хороший
Аромат приятный, но резкий
Все, что заявлено, выполняет
Когда подсыхает, нет ужасного чувства стянутости 
СОВЕТУЮ! попробуйте ОБЯЗАТЕЛЬНО!"
5;Тканевые маски действительно дают накопительный эффект, если пользоваться ими регулярно или курсами, конечно, если речь идет о качественных. В моем городе корейская косметика  недоступна, мне приходится либо в других городах закупаться ими впрок, либо заказывать в интернет-магазине. В косметическом магазине эту маску я купила примерно за такую же цену. Цена, я бы сказала, демократичная. Корейскую ...
4;"Гори лицо, гори.

Так бы я озаглавила свой отзыв.
Немного перебор с греющим веществом. Будто перчика закинули.

Однако, после маски лицо не красное, как томат. С приятной розовинкой. Увлажненное. 
После такой маски хорошо наносить питательные крема. Кровоток усиливается за счет разогревания кожи. Кстати, кожа заметно подтягивается и разглаживается.

С осторожностью применять при близком ра..."
4;Маска из зеленой глины, светло-зеленого цвета, нежной консистенции, очень легко наносится, экономная, хорошо ощущается на коже, не сушит, не стягивает, после смывания кожа мягкая, впечатление, как от хорошей уходовой маски. У нее только один, но очень существенный недостаток- запах.  Пахнет нефтью, несильно, но ощутимо. Только по этой причине маску больше не куплю.
5;Мне очень понравилась. Действительно отлично увлажнила и успокоила кожу. Тон лица был свежий и ровный. Лекало удобное, подойдет даже на крупное лицо. После использования сыворотку не смывала. Чувствуется гиалуроновая кислота в составе- на коже липковатый слой, но меня это не смутило) На утро- кожа бархатная и ухоженная.
1;Ужасная маска. Вообще к маскам пленкам отношусь нейтрально. Хоть некоторые их не любят. Повелась на то что эта мультимаска.  Думала что эффект будет супер. Но не тут то было. Снимается с кожи очень тяжело, у меня остались покраснения. Поры не очистила, рельеф кожи равнее не стал. Вообщем никакого эффекта. Да и цена не дешевая за 1 раз использования. Не советую
5;Маска потрясная. Очень приятные запах и консистенция. После использование лицо выглядит гладким и свежим. Она дала фору по результату знаменитой томатной корейской маске, кстати, по текстуре и консистенции ее напоминает. Такого уж сильного отбеливания кожи я не заметила, но она у меня и так светлая и я усиленно защищаю ее от солнца. Объем продукта небольшой. Буду покупать еще.
5;Маски Shary ни чем друг от друга не отличаются, у них прекрасное лекало, приятный запах, прекрасно увлажняют, питают,очищают,дает комфортности на лице, приятно лежать 20 минут с ней. Ни какой аллергии не вызывают.. Рекомендую их брать.
1;Это просто тихий ужас. Вообще е маскам пленкам отношусь нормально. Но эта маска самая ужасная. Она сделает вам депиляцию на лице. Снимается очень и очень больно. И эффекта от нее никакого. Не советую
1;Маска ни о чем. С недавнего времени пошла мода на мультимаски. И скинлайт решил не отставать от моды. Вообщем ничего хорошего у них не вышло. Это простая обычная глина. Но она очень сильно пересушивает кожу. Да и цена на нее завышена. Не советую.
5;Отличная маска для лица.Она очень плотная, кремовая, когда наносите ее на лицо она немного подстягивает кожу. Но после смывания кожа приобретает лифтинг эффект. Отлично освежает и подтягивает кожу. Советую присмотреться к маскам от Маркелл. Отличные маски
5;Девочки, маска классная, мне очень понравилась, кстати 30г пакета хватит на 5 примерно применений)) хотя на упаковке пишут, что нужно разводить целую упаковку. Маской довольна, рекомендую
5;Безумно понравилась эта маска. Из плюсов - убрала жирный блеск (делала маску на ночь. эффект сохранился до самого утра), освежила кожу (был приятный холодок), пропитана была составом очень хорошо (оставшуюся часть состава набрала на ватный диск и утром протёрла лицо). Также маска имеет приятный запах. конечно же не только зелёного чая. но и некоторых других растений, которые указаны на обратной ст...
3;"Чудес не делает, но они и не были заявлены производителем. Кожа после маски более ровная и однороднее по цвету. Но за те же деньги можно взять другую маску, которая будет работать эффективнее. 
Прекрасное настроение с ней - да! Блесток в ней ооочень много, поэтому сверкать и сиять минут 15-20 мне понравилось, но позже столкнулась с тем, что несколько блесточек после смывания остаются и ничем их н..."
5;Маска очень понравилась. Красивейшая упаковка, сразу предвкушаешь аромат розы и маска оправдывает эти ожидания - обладает приятнейшим и нежным ароматом чайной розы, который  присутствует все время пока держишь маску на лице. Маска отлично увлажняет, питает кожу, борется с сухостью и шелушениями, освежает лицо. У меня комбинированная кожа, больше жирная в т-зоне и сухая вне ее, мне маска хорошо увл...
5;Маска шикарная,кожа после нее нежная,гладкая.
3;"Для сухой и чувствительной кожи - нет, нет и еще раз нет!

Первые впечатления после вскрытия - отвратный запах. Далее, он куда-то отходит, на второй план и начинается запах спелой моркови. Лекало для узкоглазиков, простите за мой французский. Приходится по ходу дела подрезать под себя. Жидкости много. В процессе ношения не чувствуется, что продукт работает. Обладательницы сухой кожи поймут, о че..."
5;"Упаковка у маски хорошая, имеется надрез, что всегда хорошо и удобно, потому что можно спокойно открыть, не бегая в поисках ножниц. Этт позволяет экономить время, а так же позволяет использовать эту маску вне дома, что удобно.
Внутри находится тканевая основа, которая довольно приятная на ощупь. Лекало хорошее, в принципе, среднестатистическое для корейских тканевых масок.
Пропитана тканевая осн..."
5;Понравилась!!! Лекало обычное, пропитки очень много, хватает ещё и на шею нанести. Пахнет приятно растительно. Держала на лице минут 30, отлично увлажнила и смягчила  кожу, придала ей упругость, уменьшает покраснения. Советую!
5;Решила побаловать мужа этой масочкой, а он не отказался поэкспериментировать. Запах у маски какой-то невероятный. Кода после неё визуально выглядела более увлажнённой. На раздражения муж не жаловался.
4;Это моя первая альгинатная маска для лица вообще. Сравнивать мне не с чем, поэтому просто пишу, какие были ощущения. Кожа после маски бархатная, увлажненная. Хватает ее на 2 раза скажу сразу. Чтоб не было комочков я воду добавляю постепенно, и быстро мешаю. Буду пользоваться дальше. Пока не скажу, что есть какие то результаты. Так для разнообразия прикольно)
2;На самом деле маска очень средняя по качеству. Несмотря на то, что объем составляет всего 10 грамм, ее хватит применений на 10 точно, так как наносить её нужно ещё даже меньше, чем обычного ночного крема. Упаковка удобная, есть закручивающаяся крышечка, а если средство совсем на исходе, можно нарезать уголок. Дальше пошло уже все печально, так как состав средства оставляет желать лучшего. Ингредие...
3;Запах не очень, лимона и близко нет! Эффект ну так... увлажнила и может немного свежести дала. Хорошо напитана, но оооочень тонкая тряпочка. размер маски хороший. Мне у тони моли другая маска с лимоном нравится. Эту больше не куплю!
5;Очень понравилась маска. Даже не ожидала эффекта и долго не обращала на нее внимание. Пользуюсь тканевыми масками часто и более именитыми брендами, даже стало казаться, что они все одинаковые. Но! эта маска прямо очень удивила. Большой объем сыворотки, маска достаточно пропитана, хватило еще тело обмазать, лекало очень удобное, плотная ткань, садится хорошо, не торчит, не висит и не слазит с лица...
5;Пришла мне моя масочка,действительно очень хорошая.Наноситься легко,создает такую пленочку,под душем просто от капель воды не смывается,а главное эфект,прошла обычная стянутость после хлористой воды,отлично улажняет,кожа как будто напилась стала бархатной,постоянно хочется трогать.
2;Вызвала аллергию((((
3;Маска как по мне нечего не делает( но жутко ходит!!! Такое чувство что метолом чистым намазалась ( кто знает похож на меновазин ?) она не желе. Жидкая,прям течет из тюбика, цвет голубоватый и много мелкого перламутра. Вроде красиво а толку нет. Мне кажется ее хорошо делать после дикого летнего солнца.
5;Очень хорошая маска. Лицо прям нежиться в ней,успокаивает,увлажняет,кожа отдыхает.Жалко,что в наличии не часто бывает.
1;Спирт в чистом виде!Пользоваться не возможно,слезятся глаза и нечем дышать.Выкинула после 2 применений(я пыталась).Эффект от маски может быть и есть,но он не стоит таких мучений.
4;Все маски этой серии имеют схожий эффект - выравнивает цвет лица и хорошо увлажняет, делала их каждое утро, мне очень понравилось - макияж хорошо ложится.
5;Обожаю корейские маски одна из любимых. Магазин этот супер все отлично упаковали отправили быстро обижаю.
5;Маска хорошая действительно запах нежный. Эффект такой как будто кода стала чище глаже. Вообщем классно
5;Маску закажу ещё однозначно. Качество хорошее все свои функции выполняет.
3;Что то я разочаровалась в этой маске. Незнаю эффекта просто нет. И как то не увлажнила она кожу
5;А маска то классная!Такого эффекта я не ожидала!Действительно, заполняет морщинки, тонизирует кожу.Маска очень понравилась,достойный продукт за небольшие деньги!
4;Маска имеет очень приторный сладкий запах,но приятная, не липкая и выстро вптывется, имеет текстуру лелкого крема, не оставляет жирной пленки.
5;Маска хорошо справляется с воспалениями. Рекомендую!
5;Как и многие корейские маски, эта порадовала меня своим качеством и действием. Маска увлажняет, питает кожу и смягчает ее.
5;Маска мне очень понравилась!) Кожу напитывает, увлажняет, не сохнет противно как из голой глины, и при этом хорошо очищает!).. Особых изменений не заметила, но кожа осталась довольна!))) Радует невысокая цена, но правда и объем слишком мал, ожидала немного больше... Ориентировочно маски хватит раз на 5 думаю при экономном расходе.
5;Маска приятная по консистенции, хорошо наносится, освежает лицо, матирует кожу, но как такового глубокого очищения я не заметила, черные точки действительно становятся светлее, но эффект временный. Также из плюсов: заметила противовоспалительный эффект, против жирного блеска. В общем, для бюджетной маски совсем неплохая, даже очень.
5;Данная маска имеет очень хороший работающий состав, а именно - успокаивает воспаления, выравнивает тон кожи, увлажняет и матирует одновременно. Для комбинированной кожи подошла отлично, проделала курс из 9 масок (3 упаковки, на одну маску хватает 10 г маски без шеи). Кожа довольна!
5;Отличная маска. Приятная ,нежная отдушка. После нанесения нет ощущения липкости. Не оставляет пленки. Быстро впитывается,замечательно увлажняет,тонизирует и освежает. Буду использовать и дальше.
5;Открываешь пакет и такой приятный аромат маски. Маска  тоненькая, хорошо очень напитана эссенцией, хорошо держится на лице, неотстает и не сползает. Всю процедуру наслаждаешься ароматом маски( он медовый, кому может и не понравится). Держала 30 минут, маска не высохла на мне. Результат после процедуры: напитанная, увлажнённая кожа, шелушения исчезло, но немного осталась  липкость на лице, нужно из...
5;"Великолепная маска. На самом деле весьма хорошая. Первый раз брала, среди прочих, на пробу, а потом уже целенаправленно. И каждый раз после использования была приятно удивлена. Когда пользуешься разнообразными масками постоянно, то есть с чем сравнить.

Кожа увлажнена, действительно увлажнена, прямо упругая такая. Выравнивается тон, уходят всякие мелкие воспаления и несовершенства кожи. Поры суж..."
5;Первая маска-малышка из опробованных у бренда, произвела на меня прекрасное впечатление. Она действительно слегка разогревает кожу, ощущается как весьма маслянистое тепленькое одеялко на лице, ради выраженного эффекта советую подержать минут 40, и при смывании вы будете приятно удивлены))) У меня кожа после нее действительно основательно напитывается без жирности, выглядит реально более плотной и ...
5;"У меня только один вопрос: почему ее так мало в тюбике?
По консистенции маска в мерк густач. Легко распределяется по лицу. Цвет маски почти такой же, как у красной глины, которая является основным компонентом этой маски. Запах специфический. Его сложно описать... Не неприятный, но особенный.
На лице полностью высыхает за 15 минут и начинает немного стягивать кожу, как и большинство глиняных масо..."
4;Из всех масок-тряпочек, которые у меня были, форма этой - самая неудобная. Она очень широкая, отверстия для глаз расположены очень близко друг к другу, а отверстие для губ - слишком низко. Пришлось помучаться, чтобы нормально усадить ее на лице. Сам материал мне напомнил бумажный платочек, пропитанный липковатой жидкостью: довольно плотный. Первые минут пять маска очень щипала, я уже даже начала о...
2;Пользуюсь разными масками, много чего попробовала. Маска не понравилась. Каким бы толстым слоем ее не намазывать, все равно частично она остается на коже засохшими участками, их потом ватным тампоном оттираю, кожа раздражается. Эффекта, описанного на баночке не увидела. Т.е. ты ее 30 мин на лице носишь, потом пока сдерешь с лица - для меня оч много времени (на фоне семьи и детей). Самое обидное - ...
3;Не понесла эту маску, больше наверное как тоник. После пиленга подойдёт.
5;Заказываю Маску-пленку уже не первый раз. Я ей очень довольна. и по моей рекомендации ее заказала моя подруга. Я использую маску-пленку в комплекте с Гиалуроновой сывороткой-активатором для лица	из той же линейки. Запах маски очень приятный, не резкий, не пахнет спиртом. Наносить ее очень удобно. С лица снимать легко, ничего лишнего маска не отдирает (волосики). Хорошо увлажняет кожу, не стягивает...
5;У меня нормальная кожа,склонная к жирности на Т-зоне,она нуждается в увлажнении и защите .Маска желтая,прозрачная,без запаха,отлично наносится и распределяется.Наносила тонким слоем,хватило на 3 раза.От маски получила всё,что хотела,она прекрасно увлажнила,успокоила,очистила и освежила кожу.Очень приятна в использовании,лучше применять курсом в течении недели.Желательно долго не хранить,т.к. маска...
5;Мне очень понравилась маска. За такие деньги супер средство. Очень хорошо подтягивает. Конечно, надо регулярно пользоваться маской. С одного раза эффекта не будет. Рекомендую.
3;"Для путешествий и командировок самое то. Очень удобная маска. В ней есть все: пенка для умывания, маска тканевая и сыворотка.
1. Очищаем кожу пенкой( ее хватит на пару раз)
2 наносим тканевую маску на 20 минут
3 завершающий этап это сыворотка. 

В целом маска хорошо увлажняет кожу, но увы этого увлажнения хватает на 24 часа.Имеет специфическую отдушку, но она не противная. Цвет лица после мас..."
